Pay Grade,Years of Experience,Monthly Pay
E-8,35,6759
E-8,36,6759
E-8,37,6759
E-8,38,6759
E-8,39,6759
E-8,40,6759
E-9,10,5789
E-9,11,5789
E-9,12,5921
E-9,13,5921
E-9,14,6086
E-9,15,6086
E-9,16,6280
E-9,17,6280
E-9,18,6477
E-9,19,6477
E-9,20,6791
E-9,21,6791
E-9,22,7057
E-9,23,7057
E-9,24,7336
E-9,25,7336
E-9,26,7764
E-9,27,7764
E-9,28,7764
E-9,29,7764
E-9,30,8152
E-9,31,8152
E-9,32,8152
E-9,33,8152
E-9,34,8560
E-9,35,8560
E-9,36,8560
E-9,37,8560
E-9,38,8560
E-9,39,8560
E-9,40,8560
